Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1008.0,23420.0,22896.0,106.0,2463.0,2392.0,4304.0
2020-08-22,,,,,,,,1008.0,23420.0,22896.0,106.0,2463.0,2392.0,4304.0
2020-08-27,108,2509,2430,0,0,0,4304,1089.0,25302.0,24748.0,107.0,2486.0,2408.0,4304.0
2020-08-29,108,2509,2430,0,0,0,4304.0,,,,,,,
2020-08-30,108,2509,2430,0,0,0,4304.0,,,,,,,
2020-08-31,,,,,,,,1112.0,25836.0,25306.0,107.0,2486.0,2402.0,4304.0
2020-09-01,"{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': 4304.0}",,,,,,,
2020-09-03,"{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': 4304.0}",,,,,,,
2020-09-04,"{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': nan}","{('Los Angeles - Longwood',): nan, 'Los Angeles - Longwood': 4304.0}",,,,,,,
2020-09-05,,,,,,,,1149.0,26696.0,26154.0,107.0,2486.0,2402.0,4304.0
2020-09-07,{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan},{'Los Angeles - Longwood': nan}
