Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,765.0,24488.0,28906.0,15.0,480.0,755.0,3124.0
2020-08-22,,,,,,,,765.0,24488.0,28906.0,15.0,480.0,755.0,3124.0
2020-08-27,20,640,928,0,0,0,3124,808.0,25864.0,30319.0,17.0,544.0,816.0,3124.0
2020-08-29,20,640,928,0,0,0,3124.0,,,,,,,
2020-08-30,20,640,928,0,0,0,3124.0,,,,,,,
2020-08-31,,,,,,,,829.0,26536.0,31380.0,17.0,544.0,816.0,3124.0
2020-09-01,"{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': 3124.0}",,,,,,,
2020-09-03,"{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': 3124.0}",,,,,,,
2020-09-04,"{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': nan}","{('Los Angeles - Mandeville Canyon',): nan, 'Los Angeles - Mandeville Canyon': 3124.0}",,,,,,,
2020-09-05,,,,,,,,862.0,27593.0,32740.0,19.0,608.0,863.0,3124.0
2020-09-07,{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan},{'Los Angeles - Mandeville Canyon': nan}
