Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,5781.0,23943.0,23762.0,467.0,1934.0,1897.0,24145.0
2020-08-22,,,,,,,,5781.0,23943.0,23762.0,467.0,1934.0,1897.0,24145.0
2020-08-27,499,2067,2019,14,58,54,24145,6194.0,25653.0,25468.0,497.0,2058.0,2016.0,24145.0
2020-08-29,499,2067,2019,14,58,54,24145.0,,,,,,,
2020-08-30,508,2104,2059,14,58,54,24145.0,,,,,,,
2020-08-31,,,,,,,,6360.0,26341.0,26159.0,507.0,2100.0,2060.0,24145.0
2020-09-01,"{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': 24145.0}",,,,,,,
2020-09-03,"{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': 24145.0}",,,,,,,
2020-09-04,"{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': nan}","{('Los Angeles - Mt. Washington',): nan, 'Los Angeles - Mt. Washington': 24145.0}",,,,,,,
2020-09-05,,,,,,,,6546.0,27111.0,26925.0,515.0,2133.0,2092.0,24145.0
2020-09-07,{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan},{'Los Angeles - Mt. Washington': nan}
