Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,29521.0,19496.0,18316.0,2943.0,1944.0,1856.0,151421.0
2020-08-22,,,,,,,,29521.0,19496.0,18316.0,2943.0,1944.0,1856.0,151421.0
2020-08-27,3225,2130,2035,55,36,40,151421,31727.0,20953.0,19695.0,3198.0,2112.0,2017.0,151421.0
2020-08-29,3261,2154,2059,56,37,41,151421.0,,,,,,,
2020-08-30,3312,2187,2093,58,38,42,151421.0,,,,,,,
2020-08-31,,,,,,,,32593.0,21525.0,20238.0,3299.0,2179.0,2084.0,151421.0
2020-09-01,"{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': 151421.0}",,,,,,,
2020-09-03,"{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': 151421.0}",,,,,,,
2020-09-04,"{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': nan}","{('Los Angeles - North Hollywood',): nan, 'Los Angeles - North Hollywood': 151421.0}",,,,,,,
2020-09-05,,,,,,,,33617.0,22201.0,20874.0,3411.0,2253.0,2159.0,151421.0
2020-09-07,{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan},{'Los Angeles - North Hollywood': nan}
