Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,14153.0,20277.0,19297.0,1163.0,1666.0,1634.0,69797.0
2020-08-22,,,,,,,,14153.0,20277.0,19297.0,1163.0,1666.0,1634.0,69797.0
2020-08-27,1229,1761,1716,41,59,48,69797,14926.0,21385.0,20335.0,1231.0,1764.0,1724.0,69797.0
2020-08-29,1239,1775,1732,41,59,48,69797.0,,,,,,,
2020-08-30,1246,1785,1741,41,59,48,69797.0,,,,,,,
2020-08-31,,,,,,,,15270.0,21878.0,20805.0,1261.0,1807.0,1771.0,69797.0
2020-09-01,"{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': 69797.0}",,,,,,,
2020-09-03,"{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': 69797.0}",,,,,,,
2020-09-04,"{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': nan}","{('Los Angeles - Northridge',): nan, 'Los Angeles - Northridge': 69797.0}",,,,,,,
2020-09-05,,,,,,,,15701.0,22495.0,21395.0,1296.0,1857.0,1817.0,69797.0
2020-09-07,{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan},{'Los Angeles - Northridge': nan}
