Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,4790.0,22498.0,24609.0,99.0,465.0,527.0,21291.0
2020-08-22,,,,,,,,4790.0,22498.0,24609.0,99.0,465.0,527.0,21291.0
2020-08-27,111,521,600,4,19,9,21291,5129.0,24090.0,26460.0,102.0,479.0,541.0,21291.0
2020-08-29,111,521,600,4,19,9,21291.0,,,,,,,
2020-08-30,113,531,608,4,19,9,21291.0,,,,,,,
2020-08-31,,,,,,,,5242.0,24621.0,27095.0,104.0,488.0,549.0,21291.0
2020-09-01,"{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': 21291.0}",,,,,,,
2020-09-03,"{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': 21291.0}",,,,,,,
2020-09-04,"{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': nan}","{('Los Angeles - Pacific Palisades',): nan, 'Los Angeles - Pacific Palisades': 21291.0}",,,,,,,
2020-09-05,,,,,,,,5421.0,25461.0,28015.0,106.0,498.0,556.0,21291.0
2020-09-07,{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan},{'Los Angeles - Pacific Palisades': nan}
