Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,653.0,16979.0,17801.0,20.0,520.0,601.0,3846.0
2020-08-22,,,,,,,,653.0,16979.0,17801.0,20.0,520.0,601.0,3846.0
2020-08-27,21,546,651,0,0,0,3846,701.0,18227.0,19118.0,21.0,546.0,665.0,3846.0
2020-08-29,21,546,651,0,0,0,3846.0,,,,,,,
2020-08-30,21,546,651,0,0,0,3846.0,,,,,,,
2020-08-31,,,,,,,,718.0,18669.0,19493.0,21.0,546.0,665.0,3846.0
2020-09-01,"{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': 3846.0}",,,,,,,
2020-09-03,"{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': 3846.0}",,,,,,,
2020-09-04,"{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': nan}","{('Los Angeles - Palisades Highlands',): nan, 'Los Angeles - Palisades Highlands': 3846.0}",,,,,,,
2020-09-05,,,,,,,,753.0,19579.0,20618.0,23.0,598.0,716.0,3846.0
2020-09-07,{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan},{'Los Angeles - Palisades Highlands': nan}
