Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9189.0,20943.0,21126.0,467.0,1064.0,1180.0,43877.0
2020-08-22,,,,,,,,9189.0,20943.0,21126.0,467.0,1064.0,1180.0,43877.0
2020-08-27,497,1133,1249,29,66,89,43877,9810.0,22358.0,22598.0,486.0,1108.0,1220.0,43877.0
2020-08-29,497,1133,1249,29,66,89,43877.0,,,,,,,
2020-08-30,500,1140,1256,29,66,89,43877.0,,,,,,,
2020-08-31,,,,,,,,10060.0,22928.0,23178.0,491.0,1119.0,1234.0,43877.0
2020-09-01,"{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': 43877.0}",,,,,,,
2020-09-03,"{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': 43877.0}",,,,,,,
2020-09-04,"{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': nan}","{('Los Angeles - Palms',): nan, 'Los Angeles - Palms': 43877.0}",,,,,,,
2020-09-05,,,,,,,,10396.0,23694.0,23961.0,500.0,1140.0,1262.0,43877.0
2020-09-07,{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan},{'Los Angeles - Palms': nan}
