Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1704.0,25976.0,28494.0,66.0,1006.0,1190.0,6560.0
2020-08-22,,,,,,,,1704.0,25976.0,28494.0,66.0,1006.0,1190.0,6560.0
2020-08-27,78,1189,1385,1,15,11,6560,1849.0,28186.0,30914.0,76.0,1159.0,1355.0,6560.0
2020-08-29,78,1189,1385,1,15,11,6560.0,,,,,,,
2020-08-30,81,1235,1432,1,15,11,6560.0,,,,,,,
2020-08-31,,,,,,,,1893.0,28857.0,31631.0,79.0,1204.0,1403.0,6560.0
2020-09-01,"{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': 6560.0}",,,,,,,
2020-09-03,"{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': 6560.0}",,,,,,,
2020-09-04,"{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': nan}","{('Los Angeles - Rancho Park',): nan, 'Los Angeles - Rancho Park': 6560.0}",,,,,,,
2020-09-05,,,,,,,,1953.0,29771.0,32672.0,81.0,1235.0,1424.0,6560.0
2020-09-07,{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan},{'Los Angeles - Rancho Park': nan}
