Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,18171.0,23717.0,22689.0,1859.0,2426.0,2357.0,76617.0
2020-08-22,,,,,,,,18171.0,23717.0,22689.0,1859.0,2426.0,2357.0,76617.0
2020-08-27,1926,2514,2439,74,97,87,76617,18983.0,24776.0,23713.0,1955.0,2552.0,2476.0,76617.0
2020-08-29,1936,2527,2450,74,97,87,76617.0,,,,,,,
2020-08-30,1950,2545,2469,74,97,87,76617.0,,,,,,,
2020-08-31,,,,,,,,19312.0,25206.0,24125.0,1986.0,2592.0,2515.0,76617.0
2020-09-01,"{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': 76617.0}",,,,,,,
2020-09-03,"{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': 76617.0}",,,,,,,
2020-09-04,"{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': nan}","{('Los Angeles - Reseda',): nan, 'Los Angeles - Reseda': 76617.0}",,,,,,,
2020-09-05,,,,,,,,19786.0,25825.0,24729.0,2043.0,2667.0,2588.0,76617.0
2020-09-07,{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan},{'Los Angeles - Reseda': nan}
