Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,802.0,18055.0,17623.0,51.0,1148.0,1352.0,4442.0
2020-08-22,,,,,,,,802.0,18055.0,17623.0,51.0,1148.0,1352.0,4442.0
2020-08-27,55,1238,1428,0,0,0,4442,866.0,19496.0,18859.0,54.0,1216.0,1412.0,4442.0
2020-08-29,57,1283,1459,0,0,0,4442.0,,,,,,,
2020-08-30,56,1261,1449,0,0,0,4442.0,,,,,,,
2020-08-31,,,,,,,,896.0,20171.0,19606.0,56.0,1261.0,1443.0,4442.0
2020-09-01,"{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': 4442.0}",,,,,,,
2020-09-03,"{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': 4442.0}",,,,,,,
2020-09-04,"{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': nan}","{('Los Angeles - Shadow Hills',): nan, 'Los Angeles - Shadow Hills': 4442.0}",,,,,,,
2020-09-05,,,,,,,,923.0,20779.0,20160.0,57.0,1283.0,1469.0,4442.0
2020-09-07,{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan},{'Los Angeles - Shadow Hills': nan}
