Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,20922.0,23978.0,24806.0,830.0,951.0,1019.0,87254.0
2020-08-22,,,,,,,,20922.0,23978.0,24806.0,830.0,951.0,1019.0,87254.0
2020-08-27,916,1050,1117,19,22,19,87254,22284.0,25539.0,26490.0,902.0,1034.0,1107.0,87254.0
2020-08-29,920,1054,1121,19,22,19,87254.0,,,,,,,
2020-08-30,934,1070,1139,19,22,19,87254.0,,,,,,,
2020-08-31,,,,,,,,22894.0,26238.0,27230.0,925.0,1060.0,1137.0,87254.0
2020-09-01,"{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': 87254.0}",,,,,,,
2020-09-03,"{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': 87254.0}",,,,,,,
2020-09-04,"{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': nan}","{('Los Angeles - Sherman Oaks',): nan, 'Los Angeles - Sherman Oaks': 87254.0}",,,,,,,
2020-09-05,,,,,,,,23501.0,26934.0,27967.0,950.0,1089.0,1169.0,87254.0
2020-09-07,{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan},{'Los Angeles - Sherman Oaks': nan}
