Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2452.0,23143.0,26492.0,89.0,840.0,986.0,10595.0
2020-08-22,,,,,,,,2452.0,23143.0,26492.0,89.0,840.0,986.0,10595.0
2020-08-27,102,963,1152,2,19,12,10595,2682.0,25314.0,29164.0,95.0,897.0,1069.0,10595.0
2020-08-29,104,982,1176,2,19,12,10595.0,,,,,,,
2020-08-30,106,1000,1194,2,19,12,10595.0,,,,,,,
2020-08-31,,,,,,,,2756.0,26012.0,29940.0,97.0,916.0,1094.0,10595.0
2020-09-01,"{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': 10595.0}",,,,,,,
2020-09-03,"{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': 10595.0}",,,,,,,
2020-09-04,"{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': nan}","{('Los Angeles - South Carthay',): nan, 'Los Angeles - South Carthay': 10595.0}",,,,,,,
2020-09-05,,,,,,,,2844.0,26843.0,30893.0,99.0,934.0,1114.0,10595.0
2020-09-07,{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan},{'Los Angeles - South Carthay': nan}
