Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,8128.0,21411.0,21888.0,1802.0,4747.0,4829.0,37961.0
2020-08-22,,,,,,,,8128.0,21411.0,21888.0,1802.0,4747.0,4829.0,37961.0
2020-08-27,1853,4881,4958,27,71,107,37961,8589.0,22626.0,23119.0,1888.0,4974.0,5053.0,37961.0
2020-08-29,1863,4908,4986,27,71,107,37961.0,,,,,,,
2020-08-30,1880,4952,5030,27,71,107,37961.0,,,,,,,
2020-08-31,,,,,,,,8745.0,23037.0,23547.0,1920.0,5058.0,5139.0,37961.0
2020-09-01,"{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': 37961.0}",,,,,,,
2020-09-03,"{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': 37961.0}",,,,,,,
2020-09-04,"{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': nan}","{('Los Angeles - South Park',): nan, 'Los Angeles - South Park': 37961.0}",,,,,,,
2020-09-05,,,,,,,,9039.0,23811.0,24381.0,1968.0,5184.0,5259.0,37961.0
2020-09-07,{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan},{'Los Angeles - South Park': nan}
2020-09-08,1940,5111,5177,27,71,107,37961.0,,,,,,,
2020-09-09,1946,5126,5193,28,74,110,37961.0,,,,,,,
2020-09-10,1955,5150,5220,28,74,110,37961.0,,,,,,,
2020-09-11,1955,5150,5220,28,74,110,37961.0,,,,,,,
2020-09-12,1967,5182,5266,28,74,110,37961.0,,,,,,,
2020-09-13,1967,5182,5266,28,74,110,37961.0,,,,,,,
2020-09-14,1973,5197,5280,28,74,110,37961.0,,,,,,,
2020-09-15,1981,5219,5302,28,74,110,37961.0,,,,,,,
2020-09-16,1984,5226,5309,28,74,110,37961.0,,,,,,,
2020-09-17,1992,5247,5329,28,74,110,37961.0,,,,,,,
2020-09-20,2008,5290,5375,28,74,110,37961.0,,,,,,,
2020-09-21,2008,5290,5375,28,74,110,37961.0,,,,,,,
2020-09-22,"{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}","{('Los Angeles - South Park',): nan}"
