Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1160.0,25305.0,25820.0,123.0,2683.0,2847.0,4584.0
2020-08-22,,,,,,,,1160.0,25305.0,25820.0,123.0,2683.0,2847.0,4584.0
2020-08-27,130,2836,3028,8,175,264,4584,1216.0,26527.0,27017.0,128.0,2792.0,2952.0,4584.0
2020-08-29,130,2836,3028,8,175,264,4584.0,,,,,,,
2020-08-30,130,2836,3028,8,175,264,4584.0,,,,,,,
2020-08-31,,,,,,,,1226.0,26745.0,27240.0,128.0,2792.0,2952.0,4584.0
2020-09-01,"{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': 4584.0}",,,,,,,
2020-09-03,"{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': 4584.0}",,,,,,,
2020-09-04,"{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': nan}","{('Los Angeles - St Elmo Village',): nan, 'Los Angeles - St Elmo Village': 4584.0}",,,,,,,
2020-09-05,,,,,,,,1244.0,27138.0,27582.0,130.0,2836.0,2995.0,4584.0
2020-09-07,{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan},{'Los Angeles - St Elmo Village': nan}
