Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,10020.0,19092.0,18553.0,1281.0,2441.0,2373.0,52483.0
2020-08-22,,,,,,,,10020.0,19092.0,18553.0,1281.0,2441.0,2373.0,52483.0
2020-08-27,1374,2618,2547,22,42,43,52483,10664.0,20319.0,19748.0,1383.0,2635.0,2567.0,52483.0
2020-08-29,1391,2650,2580,22,42,43,52483.0,,,,,,,
2020-08-30,1402,2671,2602,22,42,43,52483.0,,,,,,,
2020-08-31,,,,,,,,10915.0,20797.0,20215.0,1425.0,2715.0,2646.0,52483.0
2020-09-01,"{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': 52483.0}",,,,,,,
2020-09-03,"{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': 52483.0}",,,,,,,
2020-09-04,"{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': nan}","{('Los Angeles - Sun Valley',): nan, 'Los Angeles - Sun Valley': 52483.0}",,,,,,,
2020-09-05,,,,,,,,11212.0,21363.0,20771.0,1472.0,2805.0,2738.0,52483.0
2020-09-07,{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan},{'Los Angeles - Sun Valley': nan}
