Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,4062.0,19904.0,19066.0,353.0,1730.0,1652.0,20408.0
2020-08-22,,,,,,,,4062.0,19904.0,19066.0,353.0,1730.0,1652.0,20408.0
2020-08-27,400,1960,1871,27,132,94,20408,4320.0,21168.0,20295.0,380.0,1862.0,1792.0,20408.0
2020-08-29,403,1975,1885,27,132,94,20408.0,,,,,,,
2020-08-30,406,1989,1897,27,132,94,20408.0,,,,,,,
2020-08-31,,,,,,,,4427.0,21692.0,20834.0,388.0,1901.0,1833.0,20408.0
2020-09-01,"{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': 20408.0}",,,,,,,
2020-09-03,"{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': 20408.0}",,,,,,,
2020-09-04,"{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': nan}","{('Los Angeles - Sunland',): nan, 'Los Angeles - Sunland': 20408.0}",,,,,,,
2020-09-05,,,,,,,,4535.0,22222.0,21321.0,399.0,1955.0,1882.0,20408.0
2020-09-07,{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan},{'Los Angeles - Sunland': nan}
