Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,191.0,29521.0,34126.0,5.0,773.0,783.0,647.0
2020-08-22,,,,,,,,191.0,29521.0,34126.0,5.0,773.0,783.0,647.0
2020-08-27,5,773,783,0,0,0,647,208.0,32148.0,37849.0,5.0,773.0,783.0,647.0
2020-08-29,5,773,783,0,0,0,647.0,,,,,,,
2020-08-30,5,773,783,0,0,0,647.0,,,,,,,
2020-08-31,,,,,,,,213.0,32921.0,38456.0,5.0,773.0,783.0,647.0
2020-09-01,"{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': 647.0}",,,,,,,
2020-09-03,"{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': 647.0}",,,,,,,
2020-09-04,"{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': nan}","{('Los Angeles - Sycamore Square',): nan, 'Los Angeles - Sycamore Square': 647.0}",,,,,,,
2020-09-05,,,,,,,,217.0,33539.0,40171.0,5.0,773.0,783.0,647.0
2020-09-07,{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan},{'Los Angeles - Sycamore Square': nan}
