Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9094.0,23033.0,21328.0,1074.0,2720.0,2632.0,39482.0
2020-08-22,,,,,,,,9094.0,23033.0,21328.0,1074.0,2720.0,2632.0,39482.0
2020-08-27,1117,2829,2731,26,66,75,39482,9692.0,24548.0,22756.0,1128.0,2857.0,2758.0,39482.0
2020-08-29,1126,2852,2754,26,66,75,39482.0,,,,,,,
2020-08-30,1140,2887,2790,26,66,75,39482.0,,,,,,,
2020-08-31,,,,,,,,9918.0,25120.0,23303.0,1157.0,2930.0,2833.0,39482.0
2020-09-01,"{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': 39482.0}",,,,,,,
2020-09-03,"{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': 39482.0}",,,,,,,
2020-09-04,"{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': nan}","{('Los Angeles - Temple-Beaudry',): nan, 'Los Angeles - Temple-Beaudry': 39482.0}",,,,,,,
2020-09-05,,,,,,,,10229.0,25908.0,24050.0,1189.0,3012.0,2914.0,39482.0
2020-09-07,{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan},{'Los Angeles - Temple-Beaudry': nan}
