Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2112.0,21531.0,19930.0,134.0,1366.0,1304.0,9809.0
2020-08-22,,,,,,,,2112.0,21531.0,19930.0,134.0,1366.0,1304.0,9809.0
2020-08-27,146,1488,1423,0,0,0,9809,2265.0,23091.0,21449.0,142.0,1448.0,1395.0,9809.0
2020-08-29,146,1488,1423,0,0,0,9809.0,,,,,,,
2020-08-30,147,1499,1440,0,0,0,9809.0,,,,,,,
2020-08-31,,,,,,,,2319.0,23642.0,21947.0,143.0,1458.0,1413.0,9809.0
2020-09-01,"{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': 9809.0}",,,,,,,
2020-09-03,"{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': 9809.0}",,,,,,,
2020-09-04,"{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': nan}","{('Los Angeles - Thai Town',): nan, 'Los Angeles - Thai Town': 9809.0}",,,,,,,
2020-09-05,,,,,,,,2402.0,24488.0,22774.0,145.0,1478.0,1429.0,9809.0
2020-09-07,{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan},{'Los Angeles - Thai Town': nan}
