Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9353.0,24851.0,23859.0,424.0,1127.0,1120.0,37636.0
2020-08-22,,,,,,,,9353.0,24851.0,23859.0,424.0,1127.0,1120.0,37636.0
2020-08-27,460,1222,1222,13,35,37,37636,10016.0,26613.0,25554.0,452.0,1201.0,1193.0,37636.0
2020-08-29,461,1225,1223,14,37,40,37636.0,,,,,,,
2020-08-30,466,1238,1234,14,37,40,37636.0,,,,,,,
2020-08-31,,,,,,,,10327.0,27439.0,26337.0,462.0,1228.0,1216.0,37636.0
2020-09-01,"{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': 37636.0}",,,,,,,
2020-09-03,"{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': 37636.0}",,,,,,,
2020-09-04,"{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': nan}","{('Los Angeles - West Los Angeles',): nan, 'Los Angeles - West Los Angeles': 37636.0}",,,,,,,
2020-09-05,,,,,,,,10675.0,28364.0,27239.0,471.0,1251.0,1239.0,37636.0
2020-09-07,{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan},{'Los Angeles - West Los Angeles': nan}
