Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,12415.0,23143.0,22962.0,1966.0,3665.0,3662.0,53644.0
2020-08-22,,,,,,,,12415.0,23143.0,22962.0,1966.0,3665.0,3662.0,53644.0
2020-08-27,2078,3874,3862,44,82,106,53644,13234.0,24670.0,24475.0,2103.0,3920.0,3920.0,53644.0
2020-08-29,2091,3898,3887,44,82,106,53644.0,,,,,,,
2020-08-30,2112,3937,3928,44,82,106,53644.0,,,,,,,
2020-08-31,,,,,,,,13517.0,25198.0,24999.0,2147.0,4002.0,4004.0,53644.0
2020-09-01,"{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': 53644.0}",,,,,,,
2020-09-03,"{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': 53644.0}",,,,,,,
2020-09-04,"{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': nan}","{('Los Angeles - West Vernon',): nan, 'Los Angeles - West Vernon': 53644.0}",,,,,,,
2020-09-05,,,,,,,,13854.0,25826.0,25634.0,2197.0,4096.0,4099.0,53644.0
2020-09-07,{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan},{'Los Angeles - West Vernon': nan}
