Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9640.0,18681.0,17873.0,330.0,640.0,616.0,51603.0
2020-08-22,,,,,,,,9640.0,18681.0,17873.0,330.0,640.0,616.0,51603.0
2020-08-27,376,729,691,15,29,26,51603,10417.0,20187.0,19283.0,364.0,705.0,667.0,51603.0
2020-08-29,377,731,693,15,29,26,51603.0,,,,,,,
2020-08-30,382,740,700,15,29,26,51603.0,,,,,,,
2020-08-31,,,,,,,,10777.0,20884.0,19907.0,372.0,721.0,681.0,51603.0
2020-09-01,"{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': 51603.0}",,,,,,,
2020-09-03,"{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': 51603.0}",,,,,,,
2020-09-04,"{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': nan}","{('Los Angeles - Westchester',): nan, 'Los Angeles - Westchester': 51603.0}",,,,,,,
2020-09-05,,,,,,,,11286.0,21871.0,20785.0,382.0,740.0,697.0,51603.0
2020-09-07,{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan},{'Los Angeles - Westchester': nan}
