Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,11729.0,19761.0,19345.0,2122.0,3575.0,3613.0,59355.0
2020-08-22,,,,,,,,11729.0,19761.0,19345.0,2122.0,3575.0,3613.0,59355.0
2020-08-27,2223,3745,3803,137,231,267,59355,12535.0,21119.0,20671.0,2203.0,3712.0,3758.0,59355.0
2020-08-29,2231,3759,3817,137,231,267,59355.0,,,,,,,
2020-08-30,2245,3782,3842,138,232,269,59355.0,,,,,,,
2020-08-31,,,,,,,,12798.0,21562.0,21103.0,2231.0,3759.0,3806.0,59355.0
2020-09-01,"{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': 59355.0}",,,,,,,
2020-09-03,"{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': 59355.0}",,,,,,,
2020-09-04,"{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': nan}","{('Los Angeles - Westlake',): nan, 'Los Angeles - Westlake': 59355.0}",,,,,,,
2020-09-05,,,,,,,,13111.0,22089.0,21630.0,2267.0,3819.0,3867.0,59355.0
2020-09-07,{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan},{'Los Angeles - Westlake': nan}
2020-09-08,2293,3863,3922,139,234,272,59355.0,,,,,,,
2020-09-09,2297,3870,3930,140,236,275,59355.0,,,,,,,
2020-09-10,2297,3870,3930,140,236,275,59355.0,,,,,,,
