Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9264.0,18465.0,17596.0,946.0,1886.0,1847.0,50170.0
2020-08-22,,,,,,,,9264.0,18465.0,17596.0,946.0,1886.0,1847.0,50170.0
2020-08-27,1004,2001,1953,33,66,65,50170,9899.0,19731.0,18836.0,981.0,1955.0,1915.0,50170.0
2020-08-29,1010,2013,1963,33,66,65,50170.0,,,,,,,
2020-08-30,1022,2037,1984,33,66,65,50170.0,,,,,,,
2020-08-31,,,,,,,,10142.0,20215.0,19299.0,1007.0,2007.0,1962.0,50170.0
2020-09-01,"{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': 50170.0}",,,,,,,
2020-09-03,"{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': 50170.0}",,,,,,,
2020-09-04,"{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': nan}","{('Los Angeles - Wilshire Center',): nan, 'Los Angeles - Wilshire Center': 50170.0}",,,,,,,
2020-09-05,,,,,,,,10471.0,20871.0,19939.0,1037.0,2067.0,2018.0,50170.0
2020-09-07,{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan},{'Los Angeles - Wilshire Center': nan}
