Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,10637.0,20540.0,19845.0,1075.0,2076.0,1991.0,51786.0
2020-08-22,,,,,,,,10637.0,20540.0,19845.0,1075.0,2076.0,1991.0,51786.0
2020-08-27,1098,2120,2031,16,31,29,51786,11179.0,21587.0,20868.0,1130.0,2182.0,2092.0,51786.0
2020-08-29,1107,2138,2045,16,31,29,51786.0,,,,,,,
2020-08-30,1116,2155,2062,16,31,29,51786.0,,,,,,,
2020-08-31,,,,,,,,11421.0,22054.0,21321.0,1147.0,2215.0,2122.0,51786.0
2020-09-01,"{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': 51786.0}",,,,,,,
2020-09-03,"{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': 51786.0}",,,,,,,
2020-09-04,"{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': nan}","{('Los Angeles - Winnetka',): nan, 'Los Angeles - Winnetka': 51786.0}",,,,,,,
2020-09-05,,,,,,,,11671.0,22537.0,21789.0,1170.0,2259.0,2167.0,51786.0
2020-09-07,{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan},{'Los Angeles - Winnetka': nan}
