Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,7916.0,18148.0,18295.0,525.0,1204.0,1259.0,43620.0
2020-08-22,,,,,,,,7916.0,18148.0,18295.0,525.0,1204.0,1259.0,43620.0
2020-08-27,611,1401,1458,13,30,23,43620,8731.0,20016.0,20162.0,587.0,1346.0,1413.0,43620.0
2020-08-29,611,1401,1457,13,30,23,43620.0,,,,,,,
2020-08-30,618,1417,1473,13,30,23,43620.0,,,,,,,
2020-08-31,,,,,,,,8979.0,20585.0,20758.0,603.0,1382.0,1448.0,43620.0
2020-09-01,"{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': 43620.0}",,,,,,,
2020-09-03,"{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': 43620.0}",,,,,,,
2020-09-04,"{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': nan}","{('Unincorporated - Altadena',): nan, 'Unincorporated - Altadena': 43620.0}",,,,,,,
2020-09-05,,,,,,,,9319.0,21364.0,21530.0,632.0,1449.0,1505.0,43620.0
2020-09-07,{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan},{'Unincorporated - Altadena': nan}
