Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1196.0,14986.0,14938.0,86.0,1078.0,1097.0,7981.0
2020-08-22,,,,,,,,1196.0,14986.0,14938.0,86.0,1078.0,1097.0,7981.0
2020-08-27,81,1015,1034,2,25,18,7981,1288.0,16138.0,16085.0,89.0,1115.0,1133.0,7981.0
2020-08-29,81,1015,1034,2,25,18,7981.0,,,,,,,
2020-08-30,81,1015,1034,2,25,18,7981.0,,,,,,,
2020-08-31,,,,,,,,1316.0,16489.0,16442.0,89.0,1115.0,1133.0,7981.0
2020-09-01,"{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': 7981.0}",,,,,,,
2020-09-03,"{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': 7981.0}",,,,,,,
2020-09-04,"{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': nan}","{('Unincorporated - Arcadia',): nan, 'Unincorporated - Arcadia': 7981.0}",,,,,,,
2020-09-05,,,,,,,,1369.0,17153.0,17116.0,92.0,1153.0,1171.0,7981.0
2020-09-07,{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan},{'Unincorporated - Arcadia': nan}
