Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1479.0,30202.0,30383.0,196.0,4002.0,4013.0,4897.0
2020-08-22,,,,,,,,1479.0,30202.0,30383.0,196.0,4002.0,4013.0,4897.0
2020-08-27,211,4309,4360,9,184,186,4897,1542.0,31489.0,31626.0,207.0,4227.0,4237.0,4897.0
2020-08-29,211,4309,4360,9,184,186,4897.0,,,,,,,
2020-08-30,212,4329,4383,9,184,186,4897.0,,,,,,,
2020-08-31,,,,,,,,1561.0,31877.0,32026.0,209.0,4268.0,4275.0,4897.0
2020-09-01,"{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': 4897.0}",,,,,,,
2020-09-03,"{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': 4897.0}",,,,,,,
2020-09-04,"{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': nan}","{('Unincorporated - Athens Village',): nan, 'Unincorporated - Athens Village': 4897.0}",,,,,,,
2020-09-05,,,,,,,,1583.0,32326.0,32438.0,213.0,4350.0,4350.0,4897.0
2020-09-07,{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan},{'Unincorporated - Athens Village': nan}
2020-09-08,216,4411,4450,10,204,209,4897.0,,,,,,,
2020-09-09,218,4452,4483,10,204,209,4897.0,,,,,,,
2020-09-10,218,4452,4483,10,204,209,4897.0,,,,,,,
2020-09-11,218,4452,4483,10,204,209,4897.0,,,,,,,
2020-09-12,218,4452,4483,10,204,209,4897.0,,,,,,,
2020-09-13,218,4452,4483,10,204,209,4897.0,,,,,,,
2020-09-14,219,4472,4499,10,204,209,4897.0,,,,,,,
2020-09-15,219,4472,4499,10,204,209,4897.0,,,,,,,
2020-09-16,220,4493,4519,10,204,209,4897.0,,,,,,,
2020-09-17,224,4574,4600,10,204,209,4897.0,,,,,,,
2020-09-20,235,4799,4822,10,204,209,4897.0,,,,,,,
2020-09-21,235,4799,4822,10,204,209,4897.0,,,,,,,
2020-09-22,"{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}","{('Unincorporated - Athens Village',): nan}"
2020-09-24,244,4983,5014,10,204,209,4897.0,,,,,,,
2020-09-25,244,4983,5014,10,204,209,4897.0,,,,,,,
