Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1224.0,18066.0,17671.0,221.0,3262.0,3225.0,6775.0
2020-08-22,,,,,,,,1224.0,18066.0,17671.0,221.0,3262.0,3225.0,6775.0
2020-08-27,256,3779,3724,2,30,34,6775,1305.0,19262.0,18810.0,245.0,3616.0,3554.0,6775.0
2020-08-29,258,3808,3754,2,30,34,6775.0,,,,,,,
2020-08-30,260,3838,3784,2,30,34,6775.0,,,,,,,
2020-08-31,,,,,,,,1337.0,19734.0,19284.0,251.0,3705.0,3647.0,6775.0
2020-09-01,"{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': 6775.0}",,,,,,,
2020-09-03,"{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': 6775.0}",,,,,,,
2020-09-04,"{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': nan}","{('Unincorporated - Avocado Heights',): nan, 'Unincorporated - Avocado Heights': 6775.0}",,,,,,,
2020-09-05,,,,,,,,1377.0,20325.0,19882.0,255.0,3764.0,3706.0,6775.0
2020-09-07,{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan},{'Unincorporated - Avocado Heights': nan}
