Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2624.0,16479.0,16006.0,412.0,2587.0,2481.0,15923.0
2020-08-22,,,,,,,,2624.0,16479.0,16006.0,412.0,2587.0,2481.0,15923.0
2020-08-27,441,2770,2684,2,13,17,15923,2787.0,17503.0,17031.0,437.0,2744.0,2642.0,15923.0
2020-08-29,443,2782,2698,2,13,17,15923.0,,,,,,,
2020-08-30,447,2807,2725,2,13,17,15923.0,,,,,,,
2020-08-31,,,,,,,,2848.0,17886.0,17404.0,446.0,2801.0,2698.0,15923.0
2020-09-01,"{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': 15923.0}",,,,,,,
2020-09-03,"{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': 15923.0}",,,,,,,
2020-09-04,"{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': nan}","{('Unincorporated - Azusa',): nan, 'Unincorporated - Azusa': 15923.0}",,,,,,,
2020-09-05,,,,,,,,2920.0,18338.0,17859.0,455.0,2858.0,2750.0,15923.0
2020-09-07,{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan},{'Unincorporated - Azusa': nan}
