Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,88.0,81481.0,7114.0,3.0,2778.0,287.0,108.0
2020-08-22,,,,,,,,88.0,81481.0,7114.0,3.0,2778.0,287.0,108.0
2020-08-27,4,3704,303,1,926,255,108,89.0,82407.0,7416.0,3.0,2778.0,287.0,108.0
2020-08-29,4,3704,303,1,926,255,108.0,,,,,,,
2020-08-30,4,3704,303,1,926,255,108.0,,,,,,,
2020-08-31,,,,,,,,89.0,82407.0,7416.0,3.0,2778.0,287.0,108.0
2020-09-01,"{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': 108.0}",,,,,,,
2020-09-03,"{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': 108.0}",,,,,,,
2020-09-04,"{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': nan}","{('Unincorporated - Bradbury',): nan, 'Unincorporated - Bradbury': 108.0}",,,,,,,
2020-09-05,,,,,,,,91.0,84259.0,7469.0,3.0,2778.0,287.0,108.0
2020-09-07,{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan},{'Unincorporated - Bradbury': nan}
