Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1383.0,17896.0,19167.0,107.0,1385.0,1460.0,7728.0
2020-08-22,,,,,,,,1383.0,17896.0,19167.0,107.0,1385.0,1460.0,7728.0
2020-08-27,116,1501,1584,0,0,0,7728,1470.0,19022.0,20355.0,115.0,1488.0,1576.0,7728.0
2020-08-29,117,1514,1596,0,0,0,7728.0,,,,,,,
2020-08-30,117,1514,1596,0,0,0,7728.0,,,,,,,
2020-08-31,,,,,,,,1503.0,19449.0,20790.0,115.0,1488.0,1576.0,7728.0
2020-09-01,"{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': 7728.0}",,,,,,,
2020-09-03,"{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': 7728.0}",,,,,,,
2020-09-04,"{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': nan}","{('Unincorporated - Canyon Country',): nan, 'Unincorporated - Canyon Country': 7728.0}",,,,,,,
2020-09-05,,,,,,,,1546.0,20005.0,21401.0,116.0,1501.0,1586.0,7728.0
2020-09-07,{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan},{'Unincorporated - Canyon Country': nan}
