Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,122.0,17379.0,19370.0,16.0,2279.0,2721.0,702.0
2020-08-22,,,,,,,,122.0,17379.0,19370.0,16.0,2279.0,2721.0,702.0
2020-08-27,21,2991,3886,1,142,73,702,133.0,18946.0,20802.0,20.0,2849.0,3544.0,702.0
2020-08-29,21,2991,3886,1,142,73,702.0,,,,,,,
2020-08-30,22,3134,4106,1,142,73,702.0,,,,,,,
2020-08-31,,,,,,,,137.0,19516.0,21522.0,21.0,2991.0,3764.0,702.0
2020-09-01,"{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': 702.0}",,,,,,,
2020-09-03,"{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': 702.0}",,,,,,,
2020-09-04,"{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': nan}","{('Unincorporated - Claremont',): nan, 'Unincorporated - Claremont': 702.0}",,,,,,,
2020-09-05,,,,,,,,139.0,19801.0,21667.0,21.0,2991.0,3764.0,702.0
2020-09-07,{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan},{'Unincorporated - Claremont': nan}
