Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,88.0,13333.0,13683.0,9.0,1364.0,1690.0,660.0
2020-08-22,,,,,,,,88.0,13333.0,13683.0,9.0,1364.0,1690.0,660.0
2020-08-27,12,1818,2094,0,0,0,660,99.0,15000.0,15024.0,12.0,1818.0,2094.0,660.0
2020-08-29,12,1818,2094,0,0,0,660.0,,,,,,,
2020-08-30,12,1818,2094,0,0,0,660.0,,,,,,,
2020-08-31,,,,,,,,101.0,15303.0,15263.0,12.0,1818.0,2094.0,660.0
2020-09-01,"{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': 660.0}",,,,,,,
2020-09-03,"{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': 660.0}",,,,,,,
2020-09-04,"{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': nan}","{('Unincorporated - Glendora',): nan, 'Unincorporated - Glendora': 660.0}",,,,,,,
2020-09-05,,,,,,,,101.0,15303.0,15263.0,12.0,1818.0,2094.0,660.0
2020-09-07,{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan},{'Unincorporated - Glendora': nan}
