Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,7244.0,12953.0,12624.0,831.0,1486.0,1474.0,55926.0
2020-08-22,,,,,,,,7244.0,12953.0,12624.0,831.0,1486.0,1474.0,55926.0
2020-08-27,928,1659,1647,12,21,15,55926,7766.0,13886.0,13535.0,902.0,1613.0,1600.0,55926.0
2020-08-29,930,1663,1650,12,21,15,55926.0,,,,,,,
2020-08-30,936,1674,1660,12,21,15,55926.0,,,,,,,
2020-08-31,,,,,,,,7966.0,14244.0,13884.0,914.0,1634.0,1622.0,55926.0
2020-09-01,"{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': 55926.0}",,,,,,,
2020-09-03,"{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': 55926.0}",,,,,,,
2020-09-04,"{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': nan}","{('Unincorporated - Hacienda Heights',): nan, 'Unincorporated - Hacienda Heights': 55926.0}",,,,,,,
2020-09-05,,,,,,,,8183.0,14632.0,14259.0,930.0,1663.0,1649.0,55926.0
2020-09-07,{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan},{'Unincorporated - Hacienda Heights': nan}
