Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,407.0,16189.0,15986.0,48.0,1909.0,1815.0,2514.0
2020-08-22,,,,,,,,407.0,16189.0,15986.0,48.0,1909.0,1815.0,2514.0
2020-08-27,57,2267,2168,0,0,0,2514,436.0,17343.0,17085.0,49.0,1949.0,1864.0,2514.0
2020-08-29,57,2267,2168,0,0,0,2514.0,,,,,,,
2020-08-30,57,2267,2168,0,0,0,2514.0,,,,,,,
2020-08-31,,,,,,,,442.0,17582.0,17292.0,51.0,2029.0,1940.0,2514.0
2020-09-01,"{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': 2514.0}",,,,,,,
2020-09-03,"{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': 2514.0}",,,,,,,
2020-09-04,"{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': nan}","{('Unincorporated - Hawthorne',): nan, 'Unincorporated - Hawthorne': 2514.0}",,,,,,,
2020-09-05,,,,,,,,457.0,18178.0,17891.0,51.0,2029.0,1940.0,2514.0
2020-09-07,{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan},{'Unincorporated - Hawthorne': nan}
