Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,14.0,2071.0,2731.0,0.0,0.0,0.0,
2020-08-22,,,,,,,,14.0,2071.0,2731.0,0.0,0.0,0.0,
2020-08-27,0,0,0,0,0,0,676,14.0,2071.0,2731.0,0.0,0.0,0.0,
2020-08-29,0,0,0,0,0,0,,,,,,,,
2020-08-30,0,0,0,0,0,0,,,,,,,,
2020-08-31,,,,,,,,14.0,2071.0,2731.0,0.0,0.0,0.0,
2020-09-01,"{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}",,,,,,,
2020-09-03,"{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}",,,,,,,
2020-09-04,"{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}","{('Unincorporated - La Habra Heights',): nan, 'Unincorporated - La Habra Heights': nan}",,,,,,,
2020-09-05,,,,,,,,14.0,2071.0,2731.0,0.0,0.0,0.0,
2020-09-07,{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan},{'Unincorporated - La Habra Heights': nan}
