Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,85.0,12725.0,13038.0,2.0,299.0,328.0,668.0
2020-08-22,,,,,,,,85.0,12725.0,13038.0,2.0,299.0,328.0,668.0
2020-08-27,2,299,328,0,0,0,668,98.0,14671.0,15802.0,2.0,299.0,328.0,668.0
2020-08-29,2,299,328,0,0,0,668.0,,,,,,,
2020-08-30,2,299,328,0,0,0,668.0,,,,,,,
2020-08-31,,,,,,,,103.0,15419.0,16444.0,2.0,299.0,328.0,668.0
2020-09-01,"{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': 668.0}",,,,,,,
2020-09-03,"{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': 668.0}",,,,,,,
2020-09-04,"{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': nan}","{('Unincorporated - Lake Hughes',): nan, 'Unincorporated - Lake Hughes': 668.0}",,,,,,,
2020-09-05,,,,,,,,110.0,16467.0,17562.0,2.0,299.0,328.0,668.0
2020-09-07,{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan},{'Unincorporated - Lake Hughes': nan}
