Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,160.0,9138.0,8463.0,15.0,857.0,847.0,1751.0
2020-08-22,,,,,,,,160.0,9138.0,8463.0,15.0,857.0,847.0,1751.0
2020-08-27,16,914,979,0,0,0,1751,173.0,9880.0,9098.0,15.0,857.0,847.0,1751.0
2020-08-29,16,914,979,0,0,0,1751.0,,,,,,,
2020-08-30,17,971,999,0,0,0,1751.0,,,,,,,
2020-08-31,,,,,,,,176.0,10051.0,9349.0,16.0,914.0,867.0,1751.0
2020-09-01,"{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': 1751.0}",,,,,,,
2020-09-03,"{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': 1751.0}",,,,,,,
2020-09-04,"{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': nan}","{('Unincorporated - Leona Valley',): nan, 'Unincorporated - Leona Valley': 1751.0}",,,,,,,
2020-09-05,,,,,,,,180.0,10280.0,9488.0,16.0,914.0,867.0,1751.0
2020-09-07,{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan},{'Unincorporated - Leona Valley': nan}
