Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,376.0,10535.0,10818.0,70.0,1961.0,2024.0,3569.0
2020-08-22,,,,,,,,376.0,10535.0,10818.0,70.0,1961.0,2024.0,3569.0
2020-08-27,78,2185,2275,0,0,0,3569,414.0,11600.0,11905.0,75.0,2101.0,2171.0,3569.0
2020-08-29,78,2185,2275,0,0,0,3569.0,,,,,,,
2020-08-30,79,2214,2302,0,0,0,3569.0,,,,,,,
2020-08-31,,,,,,,,434.0,12160.0,12404.0,76.0,2129.0,2198.0,3569.0
2020-09-01,"{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': 3569.0}",,,,,,,
2020-09-03,"{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': 3569.0}",,,,,,,
2020-09-04,"{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': nan}","{('Unincorporated - Littlerock/Pearblossom',): nan, 'Unincorporated - Littlerock/Pearblossom': 3569.0}",,,,,,,
2020-09-05,,,,,,,,447.0,12525.0,12756.0,76.0,2129.0,2210.0,3569.0
2020-09-07,{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan},{'Unincorporated - Littlerock/Pearblossom': nan}
