Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,503.0,12509.0,12657.0,64.0,1592.0,1642.0,4021.0
2020-08-22,,,,,,,,503.0,12509.0,12657.0,64.0,1592.0,1642.0,4021.0
2020-08-27,78,1940,2006,0,0,0,4021,566.0,14076.0,14259.0,77.0,1915.0,1965.0,4021.0
2020-08-29,78,1940,2006,0,0,0,4021.0,,,,,,,
2020-08-30,78,1940,2006,0,0,0,4021.0,,,,,,,
2020-08-31,,,,,,,,574.0,14275.0,14496.0,77.0,1915.0,1961.0,4021.0
2020-09-01,"{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': 4021.0}",,,,,,,
2020-09-03,"{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': 4021.0}",,,,,,,
2020-09-04,"{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': nan}","{('Unincorporated - Littlerock',): nan, 'Unincorporated - Littlerock': 4021.0}",,,,,,,
2020-09-05,,,,,,,,590.0,14673.0,14867.0,79.0,1965.0,2015.0,4021.0
2020-09-07,{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan},{'Unincorporated - Littlerock': nan}
