Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,56.0,6385.0,5332.0,3.0,342.0,355.0,877.0
2020-08-22,,,,,,,,56.0,6385.0,5332.0,3.0,342.0,355.0,877.0
2020-08-27,3,342,355,0,0,0,877,62.0,7070.0,5687.0,3.0,342.0,355.0,877.0
2020-08-29,3,342,355,0,0,0,877.0,,,,,,,
2020-08-30,3,342,355,0,0,0,877.0,,,,,,,
2020-08-31,,,,,,,,66.0,7526.0,6040.0,3.0,342.0,355.0,877.0
2020-09-01,"{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': 877.0}",,,,,,,
2020-09-03,"{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': 877.0}",,,,,,,
2020-09-04,"{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': nan}","{('Unincorporated - Llano',): nan, 'Unincorporated - Llano': 877.0}",,,,,,,
2020-09-05,,,,,,,,67.0,7640.0,6089.0,3.0,342.0,355.0,877.0
2020-09-07,{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan},{'Unincorporated - Llano': nan}
