Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,158.0,8078.0,7755.0,18.0,920.0,787.0,1956.0
2020-08-22,,,,,,,,158.0,8078.0,7755.0,18.0,920.0,787.0,1956.0
2020-08-27,19,971,863,1,51,20,1956,183.0,9356.0,9052.0,18.0,920.0,787.0,1956.0
2020-08-29,19,971,863,1,51,20,1956.0,,,,,,,
2020-08-30,19,971,863,1,51,20,1956.0,,,,,,,
2020-08-31,,,,,,,,186.0,9509.0,9254.0,18.0,920.0,787.0,1956.0
2020-09-01,"{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': 1956.0}",,,,,,,
2020-09-03,"{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': 1956.0}",,,,,,,
2020-09-04,"{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': nan}","{('Unincorporated - Pearblossom/Llano',): nan, 'Unincorporated - Pearblossom/Llano': 1956.0}",,,,,,,
2020-09-05,,,,,,,,191.0,9765.0,9490.0,20.0,1022.0,927.0,1956.0
2020-09-07,{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan},{'Unincorporated - Pearblossom/Llano': nan}
