Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,81.0,4180.0,11371.0,10.0,516.0,1128.0,1938.0
2020-08-22,,,,,,,,81.0,4180.0,11371.0,10.0,516.0,1128.0,1938.0
2020-08-27,14,722,1842,1,52,86,1938,90.0,4644.0,12960.0,13.0,671.0,1743.0,1938.0
2020-08-29,14,722,1842,1,52,86,1938.0,,,,,,,
2020-08-30,14,722,1842,1,52,86,1938.0,,,,,,,
2020-08-31,,,,,,,,94.0,4850.0,13537.0,13.0,671.0,1743.0,1938.0
2020-09-01,"{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': 1938.0}",,,,,,,
2020-09-03,"{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': 1938.0}",,,,,,,
2020-09-04,"{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': nan}","{('Unincorporated - Pomona',): nan, 'Unincorporated - Pomona': 1938.0}",,,,,,,
2020-09-05,,,,,,,,96.0,4954.0,13991.0,13.0,671.0,1743.0,1938.0
2020-09-07,{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan},{'Unincorporated - Pomona': nan}
