Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1393.0,10793.0,10419.0,124.0,961.0,907.0,12906.0
2020-08-22,,,,,,,,1393.0,10793.0,10419.0,124.0,961.0,907.0,12906.0
2020-08-27,144,1116,1066,11,85,63,12906,1508.0,11684.0,11332.0,133.0,1031.0,969.0,12906.0
2020-08-29,144,1116,1066,11,85,63,12906.0,,,,,,,
2020-08-30,146,1131,1082,11,85,63,12906.0,,,,,,,
2020-08-31,,,,,,,,1551.0,12018.0,11633.0,135.0,1046.0,985.0,12906.0
2020-09-01,"{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': 12906.0}",,,,,,,
2020-09-03,"{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': 12906.0}",,,,,,,
2020-09-04,"{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': nan}","{('Unincorporated - Quartz Hill',): nan, 'Unincorporated - Quartz Hill': 12906.0}",,,,,,,
2020-09-05,,,,,,,,1604.0,12428.0,12014.0,141.0,1093.0,1017.0,12906.0
2020-09-07,{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan},{'Unincorporated - Quartz Hill': nan}
