Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,602.0,22623.0,23030.0,65.0,2443.0,2436.0,2661.0
2020-08-22,,,,,,,,602.0,22623.0,23030.0,65.0,2443.0,2436.0,2661.0
2020-08-27,71,2668,2618,2,75,35,2661,628.0,23600.0,23961.0,68.0,2555.0,2548.0,2661.0
2020-08-29,71,2668,2618,2,75,35,2661.0,,,,,,,
2020-08-30,71,2668,2618,2,75,35,2661.0,,,,,,,
2020-08-31,,,,,,,,641.0,24089.0,24382.0,68.0,2555.0,2548.0,2661.0
2020-09-01,"{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': 2661.0}",,,,,,,
2020-09-03,"{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': 2661.0}",,,,,,,
2020-09-04,"{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': nan}","{('Unincorporated - Rancho Dominguez',): nan, 'Unincorporated - Rancho Dominguez': 2661.0}",,,,,,,
2020-09-05,,,,,,,,657.0,24690.0,24930.0,68.0,2555.0,2548.0,2661.0
2020-09-07,{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan},{'Unincorporated - Rancho Dominguez': nan}
