Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,83.0,8915.0,9472.0,7.0,752.0,787.0,931.0
2020-08-22,,,,,,,,83.0,8915.0,9472.0,7.0,752.0,787.0,931.0
2020-08-27,8,859,819,0,0,0,931,85.0,9130.0,9627.0,8.0,859.0,890.0,931.0
2020-08-29,8,859,819,0,0,0,931.0,,,,,,,
2020-08-30,8,859,819,0,0,0,931.0,,,,,,,
2020-08-31,,,,,,,,87.0,9345.0,9788.0,8.0,859.0,890.0,931.0
2020-09-01,"{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': 931.0}",,,,,,,
2020-09-03,"{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': 931.0}",,,,,,,
2020-09-04,"{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': nan}","{('Unincorporated - Roosevelt',): nan, 'Unincorporated - Roosevelt': 931.0}",,,,,,,
2020-09-05,,,,,,,,88.0,9452.0,9922.0,8.0,859.0,890.0,931.0
2020-09-07,{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan},{'Unincorporated - Roosevelt': nan}
