Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,200.0,16764.0,17350.0,14.0,1174.0,1074.0,1193.0
2020-08-22,,,,,,,,200.0,16764.0,17350.0,14.0,1174.0,1074.0,1193.0
2020-08-27,14,1174,1074,1,84,40,1193,223.0,18692.0,19212.0,14.0,1174.0,1074.0,1193.0
2020-08-29,14,1174,1074,1,84,40,1193.0,,,,,,,
2020-08-30,14,1174,1074,1,84,40,1193.0,,,,,,,
2020-08-31,,,,,,,,228.0,19111.0,19626.0,14.0,1174.0,1074.0,1193.0
2020-09-01,"{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': 1193.0}",,,,,,,
2020-09-03,"{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': 1193.0}",,,,,,,
2020-09-04,"{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': nan}","{('Unincorporated - Rosewood/East Gardena',): nan, 'Unincorporated - Rosewood/East Gardena': 1193.0}",,,,,,,
2020-09-05,,,,,,,,229.0,19195.0,19718.0,14.0,1174.0,1074.0,1193.0
2020-09-07,{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan},{'Unincorporated - Rosewood/East Gardena': nan}
