Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,5425.0,10633.0,10065.0,526.0,1031.0,1034.0,51022.0
2020-08-22,,,,,,,,5425.0,10633.0,10065.0,526.0,1031.0,1034.0,51022.0
2020-08-27,588,1152,1157,11,22,15,51022,5811.0,11389.0,10772.0,545.0,1068.0,1070.0,51022.0
2020-08-29,591,1158,1164,12,24,17,51022.0,,,,,,,
2020-08-30,594,1164,1171,12,24,17,51022.0,,,,,,,
2020-08-31,,,,,,,,5990.0,11740.0,11117.0,554.0,1086.0,1087.0,51022.0
2020-09-01,"{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': 51022.0}",,,,,,,
2020-09-03,"{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': 51022.0}",,,,,,,
2020-09-04,"{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': nan}","{('Unincorporated - Rowland Heights',): nan, 'Unincorporated - Rowland Heights': 51022.0}",,,,,,,
2020-09-05,,,,,,,,6183.0,12118.0,11481.0,577.0,1131.0,1136.0,51022.0
2020-09-07,{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan},{'Unincorporated - Rowland Heights': nan}
