Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,55.0,15449.0,21408.0,1.0,281.0,538.0,356.0
2020-08-22,,,,,,,,55.0,15449.0,21408.0,1.0,281.0,538.0,356.0
2020-08-27,1,281,538,0,0,0,356,58.0,16292.0,22052.0,1.0,281.0,538.0,356.0
2020-08-29,1,281,538,0,0,0,356.0,,,,,,,
2020-08-30,1,281,538,0,0,0,356.0,,,,,,,
2020-08-31,,,,,,,,58.0,16292.0,22052.0,1.0,281.0,538.0,356.0
2020-09-01,"{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': 356.0}",,,,,,,
2020-09-03,"{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': 356.0}",,,,,,,
2020-09-04,"{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': nan}","{('Unincorporated - Saugus/Canyon Country',): nan, 'Unincorporated - Saugus/Canyon Country': 356.0}",,,,,,,
2020-09-05,,,,,,,,60.0,16854.0,22792.0,1.0,281.0,538.0,356.0
2020-09-07,{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan},{'Unincorporated - Saugus/Canyon Country': nan}
