Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,37.0,8132.0,8146.0,1.0,220.0,256.0,455.0
2020-08-22,,,,,,,,37.0,8132.0,8146.0,1.0,220.0,256.0,455.0
2020-08-27,1,220,256,0,0,0,455,42.0,9231.0,8932.0,1.0,220.0,256.0,455.0
2020-08-29,2,440,382,0,0,0,455.0,,,,,,,
2020-08-30,2,440,382,0,0,0,455.0,,,,,,,
2020-08-31,,,,,,,,47.0,10330.0,10093.0,2.0,440.0,382.0,455.0
2020-09-01,"{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': 455.0}",,,,,,,
2020-09-03,"{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': 455.0}",,,,,,,
2020-09-04,"{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': nan}","{('Unincorporated - South Antelope Valley',): nan, 'Unincorporated - South Antelope Valley': 455.0}",,,,,,,
2020-09-05,,,,,,,,55.0,12088.0,11970.0,2.0,440.0,382.0,455.0
2020-09-07,{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan},{'Unincorporated - South Antelope Valley': nan}
