Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1644.0,18580.0,17289.0,158.0,1786.0,1734.0,8848.0
2020-08-22,,,,,,,,1644.0,18580.0,17289.0,158.0,1786.0,1734.0,8848.0
2020-08-27,167,1887,1809,5,57,40,8848,1725.0,19496.0,18188.0,165.0,1865.0,1813.0,8848.0
2020-08-29,167,1887,1809,5,57,40,8848.0,,,,,,,
2020-08-30,167,1887,1809,5,57,40,8848.0,,,,,,,
2020-08-31,,,,,,,,1758.0,19869.0,18528.0,164.0,1854.0,1802.0,8848.0
2020-09-01,"{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': 8848.0}",,,,,,,
2020-09-03,"{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': 8848.0}",,,,,,,
2020-09-04,"{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': nan}","{('Unincorporated - South San Gabriel',): nan, 'Unincorporated - South San Gabriel': 8848.0}",,,,,,,
2020-09-05,,,,,,,,1806.0,20411.0,19034.0,165.0,1865.0,1816.0,8848.0
2020-09-07,{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan},{'Unincorporated - South San Gabriel': nan}
