Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9769.0,16496.0,16065.0,1445.0,2440.0,2359.0,59222.0
2020-08-22,,,,,,,,9769.0,16496.0,16065.0,1445.0,2440.0,2359.0,59222.0
2020-08-27,1545,2609,2531,28,47,51,59222,10388.0,17541.0,17084.0,1541.0,2602.0,2526.0,59222.0
2020-08-29,1556,2627,2550,28,47,51,59222.0,,,,,,,
2020-08-30,1569,2649,2573,28,47,51,59222.0,,,,,,,
2020-08-31,,,,,,,,10670.0,18017.0,17551.0,1573.0,2656.0,2582.0,59222.0
2020-09-01,"{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': 59222.0}",,,,,,,
2020-09-03,"{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': 59222.0}",,,,,,,
2020-09-04,"{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': nan}","{('Unincorporated - South Whittier',): nan, 'Unincorporated - South Whittier': 59222.0}",,,,,,,
2020-09-05,,,,,,,,10956.0,18500.0,18019.0,1618.0,2732.0,2657.0,59222.0
2020-09-07,{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan},{'Unincorporated - South Whittier': nan}
