Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,330.0,19904.0,19353.0,8.0,483.0,488.0,1658.0
2020-08-22,,,,,,,,330.0,19904.0,19353.0,8.0,483.0,488.0,1658.0
2020-08-27,11,663,671,1,60,78,1658,345.0,20808.0,20313.0,9.0,543.0,542.0,1658.0
2020-08-29,11,663,671,1,60,78,1658.0,,,,,,,
2020-08-30,11,663,671,1,60,78,1658.0,,,,,,,
2020-08-31,,,,,,,,346.0,20869.0,20378.0,9.0,543.0,542.0,1658.0
2020-09-01,"{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': 1658.0}",,,,,,,
2020-09-03,"{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': 1658.0}",,,,,,,
2020-09-04,"{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': nan}","{('Unincorporated - Twin Lakes/Oat Mountain',): nan, 'Unincorporated - Twin Lakes/Oat Mountain': 1658.0}",,,,,,,
2020-09-05,,,,,,,,351.0,21170.0,20686.0,9.0,543.0,542.0,1658.0
2020-09-07,{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan},{'Unincorporated - Twin Lakes/Oat Mountain': nan}
