Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,424.0,13802.0,16027.0,36.0,1172.0,1981.0,3072.0
2020-08-22,,,,,,,,424.0,13802.0,16027.0,36.0,1172.0,1981.0,3072.0
2020-08-27,40,1302,2231,1,33,258,3072,456.0,14844.0,17159.0,39.0,1270.0,2278.0,3072.0
2020-08-29,40,1302,2231,1,33,258,3072.0,,,,,,,
2020-08-30,41,1335,2254,1,33,258,3072.0,,,,,,,
2020-08-31,,,,,,,,464.0,15104.0,17436.0,40.0,1302.0,2301.0,3072.0
2020-09-01,"{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': 3072.0}",,,,,,,
2020-09-03,"{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': 3072.0}",,,,,,,
2020-09-04,"{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': nan}","{('Unincorporated - Valencia',): nan, 'Unincorporated - Valencia': 3072.0}",,,,,,,
2020-09-05,,,,,,,,486.0,15820.0,18156.0,40.0,1302.0,2301.0,3072.0
2020-09-07,{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan},{'Unincorporated - Valencia': nan}
