Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,220.0,16188.0,15940.0,19.0,1398.0,1334.0,1359.0
2020-08-22,,,,,,,,220.0,16188.0,15940.0,19.0,1398.0,1334.0,1359.0
2020-08-27,20,1472,1397,3,221,184,1359,243.0,17881.0,17509.0,19.0,1398.0,1334.0,1359.0
2020-08-29,20,1472,1397,3,221,184,1359.0,,,,,,,
2020-08-30,20,1472,1397,3,221,184,1359.0,,,,,,,
2020-08-31,,,,,,,,248.0,18249.0,17879.0,19.0,1398.0,1334.0,1359.0
2020-09-01,"{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': 1359.0}",,,,,,,
2020-09-03,"{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': 1359.0}",,,,,,,
2020-09-04,"{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': nan}","{('Unincorporated - West Rancho Dominguez',): nan, 'Unincorporated - West Rancho Dominguez': 1359.0}",,,,,,,
2020-09-05,,,,,,,,259.0,19058.0,18631.0,20.0,1472.0,1421.0,1359.0
2020-09-07,{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan},{'Unincorporated - West Rancho Dominguez': nan}
