Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,5186.0,19261.0,18980.0,820.0,3046.0,2977.0,26925.0
2020-08-22,,,,,,,,5186.0,19261.0,18980.0,820.0,3046.0,2977.0,26925.0
2020-08-27,879,3265,3192,12,45,44,26925,5481.0,20357.0,20076.0,862.0,3201.0,3132.0,26925.0
2020-08-29,885,3287,3213,12,45,44,26925.0,,,,,,,
2020-08-30,889,3302,3229,12,45,44,26925.0,,,,,,,
2020-08-31,,,,,,,,5632.0,20917.0,20624.0,879.0,3265.0,3196.0,26925.0
2020-09-01,"{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': 26925.0}",,,,,,,
2020-09-03,"{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': 26925.0}",,,,,,,
2020-09-04,"{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': nan}","{('Unincorporated - West Whittier/Los Nietos',): nan, 'Unincorporated - West Whittier/Los Nietos': 26925.0}",,,,,,,
2020-09-05,,,,,,,,5781.0,21471.0,21165.0,891.0,3309.0,3241.0,26925.0
2020-09-07,{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan},{'Unincorporated - West Whittier/Los Nietos': nan}
