Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,154.0,11846.0,11084.0,3.0,231.0,210.0,1300.0
2020-08-22,,,,,,,,154.0,11846.0,11084.0,3.0,231.0,210.0,1300.0
2020-08-27,5,385,565,0,0,0,1300,164.0,12615.0,11836.0,4.0,308.0,373.0,1300.0
2020-08-29,6,462,683,0,0,0,1300.0,,,,,,,
2020-08-30,7,538,746,0,0,0,1300.0,,,,,,,
2020-08-31,,,,,,,,172.0,13231.0,12476.0,6.0,462.0,554.0,1300.0
2020-09-01,"{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': 1300.0}",,,,,,,
2020-09-03,"{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': 1300.0}",,,,,,,
2020-09-04,"{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': nan}","{('Unincorporated - Westfield/Academy Hills',): nan, 'Unincorporated - Westfield/Academy Hills': 1300.0}",,,,,,,
2020-09-05,,,,,,,,182.0,14000.0,13185.0,6.0,462.0,554.0,1300.0
2020-09-07,{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan},{'Unincorporated - Westfield/Academy Hills': nan}
