"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-08-17,212062,71,988,5034,5,18
"2",2020-08-16,211991,275,1261,5029,14,22
"3",2020-08-15,211716,867,1313,5015,19,25
"4",2020-08-14,210849,1176,1369,4996,16,26
"5",2020-08-13,209673,1378,1460,4980,14,27
"6",2020-08-12,208295,1599,1523,4966,16,30
"7",2020-08-11,206696,1548,1579,4950,39,32
"8",2020-08-10,205148,1981,1668,4911,38,32
"9",2020-08-09,203167,639,1693,4873,33,32
"10",2020-08-08,202528,1265,1703,4840,23,32
"11",2020-08-07,201263,1810,1753,4817,28,35
"12",2020-08-06,199453,1819,1795,4789,30,36
"13",2020-08-05,197634,1994,1859,4759,34,37
"14",2020-08-04,195640,2171,1906,4725,40,38
"15",2020-08-03,193469,2155,1964,4685,35,36
"16",2020-08-02,191314,708,2029,4650,36,37
"17",2020-08-01,190606,1613,2040,4614,44,37
"18",2020-07-31,188993,2104,2095,4570,35,38
"19",2020-07-30,186889,2268,2148,4535,38,39
"20",2020-07-29,184621,2321,2168,4497,36,39
"21",2020-07-28,182300,2578,2250,4461,28,41
"22",2020-07-27,179722,2611,2317,4433,42,43
"23",2020-07-26,177111,787,2414,4391,39,43
"24",2020-07-25,176324,1996,2452,4352,47,42
"25",2020-07-24,174328,2475,2499,4305,42,40
"26",2020-07-23,171853,2408,2608,4263,38,40
"27",2020-07-22,169445,2894,2745,4225,49,40
"28",2020-07-21,166551,3048,2753,4176,47,38
"29",2020-07-20,163503,3289,2797,4129,41,38
"30",2020-07-19,160214,1052,2823,4088,33,40
"31",2020-07-18,159162,2328,2846,4055,32,39
"32",2020-07-17,156834,3238,2864,4023,38,39
"33",2020-07-16,153596,3364,2855,3985,42,39
"34",2020-07-15,150232,2950,2840,3943,32,38
"35",2020-07-14,147282,3358,2901,3911,46,39
"36",2020-07-13,143924,3468,2909,3865,56,37
"37",2020-07-12,140456,1216,2797,3809,28,35
"38",2020-07-11,139240,2457,2794,3781,32,36
"39",2020-07-10,136783,3173,2575,3749,40,35
"40",2020-07-09,133610,3261,2337,3709,33,34
"41",2020-07-08,130349,3371,2335,3676,38,35
"42",2020-07-07,126978,3419,2338,3638,34,34
"43",2020-07-06,123559,2679,2283,3604,37,34
"44",2020-07-05,120880,1200,2314,3567,37,33
"45",2020-07-04,119680,921,2296,3530,29,33
"46",2020-07-03,118759,1505,2456,3501,33,33
"47",2020-07-02,117254,3250,2647,3468,40,32
"48",2020-07-01,114004,3391,2602,3428,28,30
"49",2020-06-30,110613,3034,2498,3400,34,32
"50",2020-06-29,107579,2900,2427,3366,32,30
"51",2020-06-28,104679,1069,2367,3334,37,29
"52",2020-06-27,103610,2042,2360,3297,24,29
"53",2020-06-26,101568,2843,2314,3273,31,31
"54",2020-06-25,98725,2934,2195,3242,27,31
"55",2020-06-24,95791,2663,2085,3215,37,31
"56",2020-06-23,93128,2535,2017,3178,21,32
"57",2020-06-22,90593,2486,1927,3157,29,32
"58",2020-06-21,88107,1016,1867,3128,32,32
"59",2020-06-20,87091,1721,1814,3096,38,32
"60",2020-06-19,85370,2012,1738,3058,34,30
"61",2020-06-18,83358,2161,1652,3024,27,30
"62",2020-06-17,81197,2187,1533,2997,40,30
"63",2020-06-16,79010,1909,1418,2957,24,28
"64",2020-06-15,77101,2061,1325,2933,32,29
"65",2020-06-14,75040,650,1233,2901,29,30
"66",2020-06-13,74390,1189,1221,2872,27,31
"67",2020-06-12,73201,1410,1200,2845,31,32
"68",2020-06-11,71791,1326,1195,2814,25,33
"69",2020-06-10,70465,1378,1226,2789,26,36
"70",2020-06-09,69087,1264,1214,2763,36,39
"71",2020-06-08,67823,1414,1221,2727,36,38
"72",2020-06-07,66409,563,1176,2691,35,38
"73",2020-06-06,65846,1047,1164,2656,35,37
"74",2020-06-05,64799,1375,1143,2621,39,37
"75",2020-06-04,63424,1542,1142,2582,45,36
