,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
0,City of Agoura Hills,148,709,699,2,10,10,20883,2020-08-30 22:49:32.767872
1,City of Alhambra,1135,1309,1306,23,27,18,86724,2020-08-30 22:49:32.767872
2,City of Arcadia,441,764,736,30,52,33,57754,2020-08-30 22:49:32.767872
3,City of Artesia,300,1786,1730,5,30,19,16795,2020-08-30 22:49:32.767872
4,City of Avalon,5,129,151,0,0,0,3869,2020-08-30 22:49:32.767872
5,City of Azusa,1409,2816,2829,17,34,40,50040,2020-08-30 22:49:32.767872
6,City of Baldwin Park,2602,3389,3358,76,99,114,76769,2020-08-30 22:49:32.767872
7,City of Bell,1434,3947,3970,37,102,140,36332,2020-08-30 22:49:32.767872
8,City of Bell Gardens,1751,4065,4105,21,49,77,43071,2020-08-30 22:49:32.767872
9,City of Bellflower,2180,2804,2790,57,73,83,77735,2020-08-30 22:49:32.767872
10,City of Beverly Hills,613,1776,1763,11,32,16,34520,2020-08-30 22:49:32.767872
11,City of Bradbury,13,1216,1445,0,0,0,1069,2020-08-30 22:49:32.767872
12,City of Burbank,1313,1225,1153,55,51,40,107180,2020-08-30 22:49:32.767872
13,City of Calabasas,231,950,881,12,49,41,24323,2020-08-30 22:49:32.767872
14,City of Carson,1690,1801,1749,49,52,41,93846,2020-08-30 22:49:32.767872
15,City of Cerritos,517,1033,1083,13,26,19,50067,2020-08-30 22:49:32.767872
16,City of Claremont,343,940,980,10,27,17,36484,2020-08-30 22:49:32.767872
17,City of Commerce,522,3994,3949,10,77,82,13069,2020-08-30 22:49:32.767872
18,City of Compton,3662,3666,3672,57,57,70,99904,2020-08-30 22:49:32.767872
19,City of Covina,1235,2519,2496,25,51,45,49032,2020-08-30 22:49:32.767872
20,City of Cudahy,1011,4152,4209,15,62,102,24347,2020-08-30 22:49:32.767872
21,City of Culver City,370,928,898,29,73,49,39865,2020-08-30 22:49:32.767872
22,City of Diamond Bar,495,861,843,8,14,10,57515,2020-08-30 22:49:32.767872
23,City of Downey,3686,3226,3148,78,68,67,114263,2020-08-30 22:49:32.767872
24,City of Duarte,470,2135,2011,25,114,71,22016,2020-08-30 22:49:32.767872
25,City of El Monte,4002,3413,3379,133,113,115,117269,2020-08-30 22:49:32.767872
26,City of El Segundo,122,727,711,1,6,3,16786,2020-08-30 22:49:32.767872
27,City of Gardena,1132,1846,1831,40,65,46,61310,2020-08-30 22:49:32.767872
28,City of Glendale,3101,1502,1377,161,78,54,206493,2020-08-30 22:49:32.767872
29,City of Glendora,1145,2170,2044,63,119,90,52764,2020-08-30 22:49:32.767872
30,City of Hawaiian Gardens,487,3318,3251,2,14,16,14676,2020-08-30 22:49:32.767872
31,City of Hawthorne,1810,2039,2022,39,44,51,88787,2020-08-30 22:49:32.767872
32,City of Hermosa Beach,190,966,929,4,20,27,19670,2020-08-30 22:49:32.767872
33,City of Hidden Hills,7,370,204,0,0,0,1890,2020-08-30 22:49:32.767872
34,City of Huntington Park,2622,4408,4385,41,69,90,59484,2020-08-30 22:49:32.767872
35,City of Industry,30,6865,7269,2,458,556,437,2020-08-30 22:49:32.767872
36,City of Inglewood,2622,2308,2283,82,72,78,113582,2020-08-30 22:49:32.767872
37,City of Irwindale,65,4455,4478,2,137,155,1459,2020-08-30 22:49:32.767872
38,City of La Canada Flintridge,160,773,905,7,34,21,20693,2020-08-30 22:49:32.767872
39,City of La Habra Heights,36,660,604,0,0,0,5455,2020-08-30 22:49:32.767872
40,City of La Mirada,773,1558,1491,25,50,35,49599,2020-08-30 22:49:32.767872
41,City of La Puente,1386,3406,3326,16,39,40,40697,2020-08-30 22:49:32.767872
42,City of La Verne,419,1259,1326,10,30,16,33282,2020-08-30 22:49:32.767872
43,City of Lakewood,1146,1426,1428,10,12,10,80362,2020-08-30 22:49:32.767872
44,City of Lancaster,2903,1797,1822,39,24,30,161570,2020-08-30 22:49:32.767872
45,City of Lawndale,580,1725,1673,10,30,39,33614,2020-08-30 22:49:32.767872
46,City of Lomita,224,1081,1049,8,39,26,20729,2020-08-30 22:49:32.767872
47,City of Lynwood,2954,4100,4215,87,121,190,72047,2020-08-30 22:49:32.767872
48,City of Malibu,95,733,735,3,23,11,12961,2020-08-30 22:49:32.767872
49,City of Manhattan Beach,314,872,866,4,11,10,35999,2020-08-30 22:49:32.767872
50,City of Maywood,1300,4635,4805,31,111,165,28049,2020-08-30 22:49:32.767872
51,City of Monrovia,682,1758,1752,37,95,91,38800,2020-08-30 22:49:32.767872
52,City of Montebello,2076,3225,3193,42,65,53,64375,2020-08-30 22:49:32.767872
53,City of Monterey Park,885,1421,1368,39,63,31,62262,2020-08-30 22:49:32.767872
54,City of Norwalk,2973,2762,2691,69,64,63,107622,2020-08-30 22:49:32.767872
55,City of Palmdale,3610,2271,2298,57,36,43,158968,2020-08-30 22:49:32.767872
56,City of Palos Verdes Estates,84,621,592,2,15,7,13522,2020-08-30 22:49:32.767872
57,City of Paramount,2211,3947,3895,26,46,61,56023,2020-08-30 22:49:32.767872
58,City of Pico Rivera,2206,3432,3347,67,104,89,64284,2020-08-30 22:49:32.767872
59,City of Pomona,4919,3155,3128,104,67,81,155931,2020-08-30 22:49:32.767872
60,City of Rancho Palos Verdes,269,629,652,12,28,13,42747,2020-08-30 22:49:32.767872
61,City of Redondo Beach,512,745,775,9,13,14,68697,2020-08-30 22:49:32.767872
62,City of Rolling Hills,8,412,571,0,0,0,1940,2020-08-30 22:49:32.767872
63,City of Rolling Hills Estates,39,481,602,2,25,13,8113,2020-08-30 22:49:32.767872
64,City of Rosemead,759,1371,1339,24,43,32,55350,2020-08-30 22:49:32.767872
65,City of San Dimas,471,1365,1368,12,35,25,34516,2020-08-30 22:49:32.767872
66,City of San Fernando,808,3283,3256,18,73,90,24612,2020-08-30 22:49:32.767872
67,City of San Gabriel,573,1399,1273,46,112,78,40954,2020-08-30 22:49:32.767872
68,City of San Marino,75,565,480,2,15,9,13277,2020-08-30 22:49:32.767872
69,City of Santa Clarita,2985,1354,1364,43,20,21,220424,2020-08-30 22:49:32.767872
70,City of Santa Fe Springs,502,2734,2727,5,27,23,18364,2020-08-30 22:49:32.767872
71,City of Santa Monica,777,840,792,40,43,31,92446,2020-08-30 22:49:32.767872
72,City of Sierra Madre,67,610,565,3,27,17,10989,2020-08-30 22:49:32.767872
73,City of Signal Hill,241,2043,2075,2,17,18,11797,2020-08-30 22:49:32.767872
74,City of South El Monte,735,3519,3506,14,67,75,20885,2020-08-30 22:49:32.767872
75,City of South Gate,4055,4131,4066,62,63,82,98155,2020-08-30 22:49:32.767872
76,City of South Pasadena,249,956,901,26,100,81,26053,2020-08-30 22:49:32.767872
77,City of Temple City,487,1336,1216,40,110,70,36455,2020-08-30 22:49:32.767872
78,City of Torrance,1290,864,840,64,43,31,149268,2020-08-30 22:49:32.767872
79,City of Vernon,9,4306,4463,0,0,0,209,2020-08-30 22:49:32.767872
80,City of Walnut,242,793,805,3,10,6,30532,2020-08-30 22:49:32.767872
