"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",149,714,704,2,10,10,20883
"2","City of Alhambra",1141,1316,1312,23,27,18,86724
"3","City of Arcadia",444,769,740,32,55,35,57754
"4","City of Artesia",302,1798,1741,5,30,19,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",1410,2818,2831,18,36,43,50040
"7","City of Baldwin Park",2631,3427,3399,76,99,114,76769
"8","City of Bell",1439,3961,3984,37,102,140,36332
"9","City of Bell Gardens",1760,4086,4129,21,49,77,43071
"10","City of Bellflower",2191,2819,2804,57,73,83,77735
"11","City of Beverly Hills",613,1776,1763,11,32,16,34520
"12","City of Bradbury",13,1216,1445,0,0,0,1069
"13","City of Burbank",1318,1230,1157,55,51,40,107180
"14","City of Calabasas",231,950,881,12,49,41,24323
"15","City of Carson",1695,1806,1754,49,52,41,93846
"16","City of Cerritos",522,1043,1092,13,26,19,50067
"17","City of Claremont",346,948,993,10,27,17,36484
"18","City of Commerce",527,4032,3986,10,77,82,13069
"19","City of Compton",3675,3679,3685,57,57,70,99904
"20","City of Covina",1243,2535,2510,25,51,45,49032
"21","City of Cudahy",1015,4169,4226,15,62,102,24347
"22","City of Culver City",372,933,903,29,73,49,39865
"23","City of Diamond Bar",497,864,845,8,14,10,57515
"24","City of Downey",3707,3244,3166,78,68,67,114263
"25","City of Duarte",474,2153,2031,25,114,71,22016
"26","City of El Monte",4017,3425,3392,133,113,115,117269
"27","City of El Segundo",122,727,711,1,6,3,16786
"28","City of Gardena",1135,1851,1836,40,65,46,61310
"29","City of Glendale",3112,1507,1382,161,78,54,206493
"30","City of Glendora",1148,2176,2049,63,119,90,52764
"31","City of Hawaiian Gardens",488,3325,3258,2,14,16,14676
"32","City of Hawthorne",1813,2042,2025,39,44,51,88787
"33","City of Hermosa Beach",190,966,929,4,20,27,19670
"34","City of Hidden Hills",7,370,204,0,0,0,1890
"35","City of Huntington Park",2631,4423,4399,43,72,94,59484
"36","City of Industry",30,6865,7269,2,458,556,437
"37","City of Inglewood",2637,2322,2296,82,72,78,113582
"38","City of Irwindale",65,4455,4478,2,137,155,1459
"39","City of La Canada Flintridge",163,788,919,7,34,21,20693
"40","City of La Habra Heights",36,660,604,0,0,0,5455
"41","City of La Mirada",774,1561,1494,25,50,35,49599
"42","City of La Puente",1393,3423,3344,16,39,40,40697
"43","City of La Verne",419,1259,1326,10,30,16,33282
"44","City of Lakewood",1161,1445,1450,11,14,11,80362
"45","City of Lancaster",2926,1811,1835,39,24,30,161570
"46","City of Lawndale",581,1728,1675,10,30,39,33614
"47","City of Lomita",226,1090,1060,8,39,26,20729
"48","City of Lynwood",2965,4115,4230,87,121,190,72047
"49","City of Malibu",95,733,735,3,23,11,12961
"50","City of Manhattan Beach",314,872,866,4,11,10,35999
"51","City of Maywood",1315,4688,4857,31,111,165,28049
"52","City of Monrovia",687,1771,1765,37,95,91,38800
"53","City of Montebello",2086,3240,3209,42,65,53,64375
"54","City of Monterey Park",891,1431,1375,39,63,31,62262
"55","City of Norwalk",2984,2773,2702,69,64,63,107622
"56","City of Palmdale",3618,2276,2304,58,36,44,158968
"57","City of Palos Verdes Estates",84,621,592,2,15,7,13522
"58","City of Paramount",2217,3957,3905,26,46,61,56023
"59","City of Pico Rivera",2215,3446,3360,68,106,90,64284
"60","City of Pomona",4953,3176,3149,104,67,81,155931
"61","City of Rancho Palos Verdes",270,632,653,12,28,13,42747
"62","City of Redondo Beach",512,745,775,9,13,14,68697
"63","City of Rolling Hills",8,412,571,0,0,0,1940
"64","City of Rolling Hills Estates",39,481,602,2,25,13,8113
"65","City of Rosemead",762,1377,1344,24,43,32,55350
"66","City of San Dimas",475,1376,1376,13,38,29,34516
"67","City of San Fernando",812,3299,3272,18,73,90,24612
"68","City of San Gabriel",574,1402,1276,46,112,78,40954
"69","City of San Marino",75,565,480,2,15,9,13277
"70","City of Santa Clarita",2999,1361,1371,43,20,21,220424
"71","City of Santa Fe Springs",505,2750,2747,5,27,23,18364
"72","City of Santa Monica",779,843,794,40,43,31,92446
"73","City of Sierra Madre",67,610,565,3,27,17,10989
"74","City of Signal Hill",243,2060,2095,2,17,18,11797
"75","City of South El Monte",735,3519,3506,14,67,75,20885
"76","City of South Gate",4071,4148,4083,62,63,82,98155
"77","City of South Pasadena",249,956,901,26,100,81,26053
"78","City of Temple City",487,1336,1216,40,110,70,36455
"79","City of Torrance",1296,868,845,64,43,31,149268
